timestamp,price
2015-04-08,243.89
2015-04-09,242.39
2015-04-10,235.0
2015-04-11,236.21
2015-04-12,236.31
2015-04-13,224.97
2015-04-14,216.97
2015-04-15,219.83
2015-04-16,228.52
2015-04-17,223.94
2015-04-18,222.93
2015-04-19,223.26
2015-04-20,224.27
2015-04-21,226.33
2015-04-22,237.19
2015-04-23,234.9
2015-04-24,231.55
2015-04-25,228.12
2015-04-26,218.01
2015-04-27,221.54
2015-04-28,225.12
2015-04-29,226.07
2015-04-30,236.76
2015-05-01,234.17
2015-05-02,234.75
2015-05-03,240.74
2015-05-04,237.01
2015-05-05,233.68
2015-05-06,234.41
2015-05-07,236.82
2015-05-08,245.0
2015-05-09,241.37
2015-05-10,239.96
2015-05-11,242.36
2015-05-12,241.94
2015-05-13,243.44
2015-05-14,237.5
2015-05-15,237.4
2015-05-16,235.57
2015-05-17,236.55
2015-05-18,235.96
2015-05-19,233.05
2015-05-20,233.77
2015-05-21,235.36
2015-05-22,239.8
2015-05-23,238.55
2015-05-24,240.79
2015-05-25,235.56
2015-05-26,236.19
2015-05-27,235.42
2015-05-28,236.07
2015-05-29,236.0
2015-05-30,231.06
2015-05-31,231.52
2015-06-01,222.64
2015-06-02,225.42
2015-06-03,226.89
2015-06-04,224.9
2015-06-05,224.82
2015-06-06,224.79
2015-06-07,222.5
2015-06-08,229.2
2015-06-09,229.02
2015-06-10,228.31
2015-06-11,228.49
2015-06-12,229.66
2015-06-13,230.48
2015-06-14,232.1
2015-06-15,236.89
2015-06-16,246.1
2015-06-17,251.0
2015-06-18,247.91
2015-06-19,245.0
2015-06-20,244.62
2015-06-21,242.0
